source,rating,date,got_response,text
google,2,2025-05-09,false,"Its a shame. Mavis has very competetive prices on tires, and in the past I've had a good exprience with them. Yesterday when the mechanic Jian recommended more services than expected he was willing to accomodate me somehwhat to meet my budget. We agreed on a price that I thought was fair and he finished the job. When I got the invoice I noticed that the original $25 fee that is only meant as a hold until you bring the car in (the guy on the phone specifically told me when I booked the service, that this fee is refunded as soon as you bring the car in), was included in the bill! That is instead of being charged the amount we agreed on, they inlcuded the $25 fee in the new invoice. I thought it was very sneaky of them. I called them up, I thought maybe there was a misunderstanding, but the manager was adamant that I didnt ""understand"" how the fee works. Load of BS. I really wish they would be more commited to their customers, and show some professionalism, and not doctor invoices like that. It's a shame, because otherwise I would have been a happy customer. They had a quick turnaround and everyone was friendly and pleasant."
google,5,2025-05-03,true,They fixed the control arm and did a realignment on my car. It was done in a timely manner. Everyone was nice.
google,5,2025-04-30,true,"Great customer service, kept informed,  All service performed timely"
google,5,2025-04-28,true,Really great friendly service was very impressed and happy with them
google,5,2025-04-27,true,Tom is the best!
google,5,2025-04-26,true,Amazing customer service! Gian made sure I would have my car finished the same day by getting a specific tire rim from a dealership in Cherry Hill. Everyone at Lakewood Mavis are true professionals!
google,5,2025-04-19,true,"Gian was incredibly helpful! I went in to patch my tire, and it turned out my Rim was bent! He was forthright and told me everything that was up, and did a “surgery” to fix it! Mavis has always helped me with this car and never tells me unnessicary fixes! 5 stars always!"
google,5,2025-04-18,true,Had a great experience at this Mavis!
google,5,2025-04-11,true,Friendly service with honest people. Thank you Tom for helping us drive safely
google,5,2025-04-03,true,Best tire center i have visited very helpfull and great prices!!! 100% recommended
google,5,2025-03-29,true,Tom was very friendly and took great care of us!
google,5,2025-03-21,true,"Very satisfied and professional job and work performed great
Thanks
Great job"
google,5,2025-03-19,true,Good service
google,5,2025-03-15,true,Very friendly and thorough.
google,5,2025-03-14,true,"I use Mavis in Lakewood for all of my cars needs. Most recently I got an oil change and new tires.  All of the employees were professional, respectful and quick! I worked with Justin who is top notch."
google,5,2025-03-14,true,They're good and honest. They did a great job fixing my tire. Didn't have to wait long.
